City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Barrow,US,2022-11-07 21:27:47,71.2906,-156.7887,24.82,86,100,10.36
60,Leshukonskoye,RU,2022-11-07 21:27:47,64.8989,45.7622,33.64,98,100,6.29
61,Coihaique,CL,2022-11-07 21:27:48,-45.5752,-72.0662,61.41,77,100,4.61
62,Inhambane,MZ,2022-11-07 21:27:48,-23.865,35.3833,76.55,83,98,8.99
63,Bereznik,RU,2022-11-07 21:27:48,62.8551,42.7072,37.36,95,100,7.96
64,Olafsvik,IS,2022-11-07 21:27:48,64.8945,-23.7142,43.36,72,100,11.77
65,Ossora,RU,2022-11-07 21:27:49,59.2353,163.0719,30.52,92,100,9.46
66,Hami,CN,2022-11-07 21:27:49,42.8,93.45,44.51,32,100,0.54
67,Port Lincoln,AU,2022-11-07 21:27:49,-34.7333,135.8667,69.21,55,100,13.71
68,Mananara,MG,2022-11-07 21:27:50,-16.1667,49.7667,69.22,88,54,2.84
69,Port Keats,AU,2022-11-07 21:27:50,-14.25,129.55,82.87,70,13,6.93
70,Saint-Francois,FR,2022-11-07 21:27:50,46.4154,3.9054,46.67,93,0,3.44
71,Pucallpa,PE,2022-11-07 21:27:51,-8.3791,-74.5539,93.24,43,20,4.61
72,Talnakh,RU,2022-11-07 21:27:51,69.4865,88.3972,-0.8,98,99,7.02
73,Pangnirtung,CA,2022-11-07 21:27:51,66.1451,-65.7125,14.0,48,20,6.91
74,Sao Filipe,CV,2022-11-07 21:27:52,14.8961,-24.4956,78.73,68,54,5.19
75,Kruisfontein,ZA,2022-11-07 21:27:52,-34.0033,24.7314,59.45,80,100,6.53
76,Skjervoy,NO,2022-11-07 21:27:52,70.0311,20.9714,41.0,67,69,18.12
77,Ribeira Grande,PT,2022-11-07 21:27:53,38.5167,-28.7,63.0,63,20,11.5
78,Grindavik,IS,2022-11-07 21:27:53,63.8424,-22.4338,43.27,87,100,11.5
79,Nikolskoye,RU,2022-11-07 21:27:53,59.7035,30.7861,40.91,89,100,8.93
80,Kaitangata,NZ,2022-11-07 21:27:54,-46.2817,169.8464,57.94,67,68,2.86
81,Arraial Do Cabo,BR,2022-11-07 21:27:54,-22.9661,-42.0278,71.56,73,75,8.05
82,Waddan,LY,2022-11-07 21:27:54,29.1614,16.139,62.62,54,0,6.38
83,Tuatapere,NZ,2022-11-07 21:27:55,-46.1333,167.6833,59.9,60,100,3.02
84,Kasangulu,CD,2022-11-07 21:27:55,-4.5911,15.1708,73.92,83,62,2.1
85,Hamilton,US,2022-11-07 21:25:13,39.1834,-84.5333,67.23,22,0,9.22
86,Cape Town,ZA,2022-11-07 21:26:17,-33.9258,18.4232,62.11,81,0,5.75
87,Poum,NC,2022-11-07 21:27:56,-20.2333,164.0167,77.68,81,98,10.94
88,Bacalan,PH,2022-11-07 21:27:56,11.5464,122.0849,74.14,85,98,6.82
89,Saldanha,ZA,2022-11-07 21:27:56,-33.0117,17.9442,60.93,88,5,7.96
90,Port Alfred,ZA,2022-11-07 21:27:56,-33.5906,26.891,63.18,92,100,1.99
91,Christchurch,NZ,2022-11-07 21:27:57,-43.5333,172.6333,60.48,74,100,6.91
92,Chenzhou,CN,2022-11-07 21:28:57,25.8,113.0333,64.02,88,12,1.41
93,Chokurdakh,RU,2022-11-07 21:28:57,70.6333,147.9167,-11.67,93,79,12.66
94,Hithadhoo,MV,2022-11-07 21:28:58,-0.6,73.0833,81.23,78,90,18.01
95,Rundu,NA,2022-11-07 21:28:58,-17.9333,19.7667,77.9,43,100,4.63
96,Vanimo,PG,2022-11-07 21:28:58,-2.6741,141.3028,77.59,89,100,3.56
97,Lebu,CL,2022-11-07 21:28:59,-37.6167,-73.65,57.85,70,4,11.05
98,Borovoy,RU,2022-11-07 21:28:59,55.4333,86.0833,29.48,93,100,6.71
99,Merrill,US,2022-11-07 21:28:59,45.1805,-89.6835,39.38,59,0,5.75
100,Camacupa,AO,2022-11-07 21:29:00,-12.0167,17.4833,66.18,84,97,3.13
101,Vilhena,BR,2022-11-07 21:29:00,-12.7406,-60.1458,89.82,27,0,6.91
102,Port Augusta,AU,2022-11-07 21:29:00,-32.5,137.7667,71.46,39,74,4.88
